trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.8, 'e': 0.000244140625}",20,0,25.45277034291531,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.8, 'e': 0.00023668639053254438}",20,0,25.69952148997666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.8, 'e': 0.0002295684113865932}",30,12,-12.854722621694354,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.00022276676319893073}",25,0,36.17738705987714,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.8, 'e': 0.00021626297577854672}",20,0,24.114844351144004,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.8, 'e': 0.00021003990758244065}",35,0,-2.808433385295604,"{0: 32, 1: 0, 2: 1, 3: 2, 4: 0}",0
170,False,"{'a': 0.8, 'e': 0.00020408163265306123}",20,0,5.1724330875059,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
171,False,"{'a': 0.8, 'e': 0.00019837333862328903}",25,0,34.139814680731895,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.8, 'e': 0.00019290123456790122}",25,0,30.92062770665195,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.8, 'e': 0.00018765246762994934}",25,0,30.089732644736547,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.8, 'e': 0.00018261504747991235}",20,0,26.831773808970958,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.8, 'e': 0.00017777777777777779}",30,0,25.103185799808006,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
176,False,"{'a': 0.8, 'e': 0.00017313019390581717}",20,14,10.218226294018061,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.00016866250632484398}",35,0,24.665540164823575,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
178,False,"{'a': 0.8, 'e': 0.0001643655489809336}",25,0,42.11662116381734,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.8, 'e': 0.0001602307322544464}",20,0,3.6025727638353553,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
180,False,"{'a': 0.8, 'e': 0.00015625}",20,0,27.46619589299009,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.8, 'e': 0.00015241579027587258}",30,7,34.71298551517098,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.000148720999405116}",25,0,37.742113447664956,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
